Interest in the following topics:,
Best practices in doing analyses in SAS or R,88.57%
Tips and tricks to be more efficient and productive in writing up your SAS or R analysis,88.57%
"Managing, cleaning, and massaging your data into a suitable format for analysis",88.57%
Techniques to automate and make easier for putting your results into your manuscript,77.14%
Exploring your data visually using graphs (in R or SAS),71.43%
Common statistical techniques,71.43%
Best practices in version control (e.g. sending your draft paper around for edits),68.57%
Better understanding how coding and programming work,65.71%
